
0it [00:00, ?it/s]
2696it [26:08,  8.43s/it, bound:0 nc:  5 ncall:1.5e+04 eff:17.9% logz-ratio=8.33+/-0.03 dlogz:0.308>0.1]
2697it [26:09,  6.15s/it, bound:0 nc:  8 ncall:1.5e+04 eff:17.8% logz-ratio=8.33+/-0.03 dlogz:0.308>0.1]
2698it [26:11,  4.98s/it, bound:0 nc: 17 ncall:1.5e+04 eff:17.8% logz-ratio=8.33+/-0.03 dlogz:0.308>0.1]
2699it [26:13,  4.02s/it, bound:0 nc: 18 ncall:1.5e+04 eff:17.8% logz-ratio=8.33+/-0.03 dlogz:0.307>0.1]
2700it [26:14,  3.09s/it, bound:0 nc: 10 ncall:1.5e+04 eff:17.8% logz-ratio=8.33+/-0.03 dlogz:0.307>0.1]
2701it [26:14,  2.22s/it, bound:0 nc:  2 ncall:1.5e+04 eff:17.8% logz-ratio=8.33+/-0.03 dlogz:0.307>0.1]
2702it [26:17,  2.31s/it, bound:0 nc: 28 ncall:1.5e+04 eff:17.8% logz-ratio=8.33+/-0.03 dlogz:0.306>0.1]
2703it [26:19,  2.28s/it, bound:0 nc: 22 ncall:1.5e+04 eff:17.8% logz-ratio=8.34+/-0.03 dlogz:0.306>0.1]
2704it [26:21,  2.16s/it, bound:0 nc: 16 ncall:1.5e+04 eff:17.8% logz-ratio=8.34+/-0.03 dlogz:0.306>0.1]
2705it [26:26,  3.03s/it, bound:0 nc: 44 ncall:1.5e+04 eff:17.7% logz-ratio=8.34+/-0.03 dlogz:0.305>0.1]
2706it [26:29,  3.00s/it, bound:0 nc: 29 ncall:1.5e+04 eff:17.7% logz-ratio=8.34+/-0.03 dlogz:0.305>0.1]
2707it [26:31,  2.62s/it, bound:0 nc: 17 ncall:1.5e+04 eff:17.7% logz-ratio=8.34+/-0.03 dlogz:0.305>0.1]
2708it [26:31,  1.92s/it, bound:0 nc:  3 ncall:1.5e+04 eff:17.7% logz-ratio=8.34+/-0.03 dlogz:0.304>0.1]
2709it [26:36,  2.94s/it, bound:0 nc: 52 ncall:1.5e+04 eff:17.6% logz-ratio=8.34+/-0.03 dlogz:0.304>0.1]
2710it [26:37,  2.23s/it, bound:0 nc:  6 ncall:1.5e+04 eff:17.6% logz-ratio=8.34+/-0.03 dlogz:0.304>0.1]
2711it [26:37,  1.59s/it, bound:0 nc:  1 ncall:1.5e+04 eff:17.6% logz-ratio=8.34+/-0.03 dlogz:0.303>0.1]
2712it [26:40,  2.02s/it, bound:0 nc: 31 ncall:1.5e+04 eff:17.6% logz-ratio=8.34+/-0.03 dlogz:0.303>0.1]
2713it [26:45,  2.92s/it, bound:0 nc: 44 ncall:1.5e+04 eff:17.6% logz-ratio=8.34+/-0.03 dlogz:0.303>0.1]
2714it [26:47,  2.69s/it, bound:0 nc: 24 ncall:1.5e+04 eff:17.5% logz-ratio=8.34+/-0.03 dlogz:0.302>0.1]
2715it [26:48,  2.11s/it, bound:0 nc:  8 ncall:1.5e+04 eff:17.5% logz-ratio=8.34+/-0.03 dlogz:0.302>0.1]
2716it [26:48,  1.60s/it, bound:0 nc:  5 ncall:1.5e+04 eff:17.5% logz-ratio=8.34+/-0.03 dlogz:0.302>0.1]
2717it [26:49,  1.41s/it, bound:0 nc: 11 ncall:1.5e+04 eff:17.5% logz-ratio=8.34+/-0.03 dlogz:0.301>0.1]
2718it [26:50,  1.10s/it, bound:0 nc:  4 ncall:1.6e+04 eff:17.5% logz-ratio=8.34+/-0.03 dlogz:0.301>0.1]
2719it [26:52,  1.37s/it, bound:0 nc: 18 ncall:1.6e+04 eff:17.5% logz-ratio=8.34+/-0.03 dlogz:0.301>0.1]
2720it [26:52,  1.12s/it, bound:0 nc:  6 ncall:1.6e+04 eff:17.5% logz-ratio=8.34+/-0.03 dlogz:0.300>0.1]
2721it [26:53,  1.06s/it, bound:0 nc:  6 ncall:1.6e+04 eff:17.5% logz-ratio=8.34+/-0.03 dlogz:0.300>0.1]
2722it [26:54,  1.07it/s, bound:0 nc:  6 ncall:1.6e+04 eff:17.5% logz-ratio=8.34+/-0.03 dlogz:0.300>0.1]
2723it [26:56,  1.33s/it, bound:0 nc: 25 ncall:1.6e+04 eff:17.5% logz-ratio=8.34+/-0.03 dlogz:0.299>0.1]
2724it [26:58,  1.48s/it, bound:0 nc: 21 ncall:1.6e+04 eff:17.5% logz-ratio=8.34+/-0.03 dlogz:0.299>0.1]
2725it [27:01,  1.90s/it, bound:0 nc: 30 ncall:1.6e+04 eff:17.5% logz-ratio=8.34+/-0.03 dlogz:0.299>0.1]
2726it [27:04,  2.30s/it, bound:0 nc: 37 ncall:1.6e+04 eff:17.4% logz-ratio=8.34+/-0.03 dlogz:0.298>0.1]
2727it [27:04,  1.66s/it, bound:0 nc:  2 ncall:1.6e+04 eff:17.4% logz-ratio=8.34+/-0.03 dlogz:0.298>0.1]
2728it [27:06,  1.69s/it, bound:0 nc: 21 ncall:1.6e+04 eff:17.4% logz-ratio=8.34+/-0.03 dlogz:0.298>0.1]
2729it [27:08,  1.71s/it, bound:0 nc: 21 ncall:1.6e+04 eff:17.4% logz-ratio=8.34+/-0.03 dlogz:0.297>0.1]
2730it [27:08,  1.40s/it, bound:0 nc:  7 ncall:1.6e+04 eff:17.4% logz-ratio=8.34+/-0.03 dlogz:0.297>0.1]
2731it [27:09,  1.11s/it, bound:0 nc:  4 ncall:1.6e+04 eff:17.4% logz-ratio=8.34+/-0.03 dlogz:0.297>0.1]
2732it [27:10,  1.13s/it, bound:0 nc: 15 ncall:1.6e+04 eff:17.4% logz-ratio=8.34+/-0.03 dlogz:0.296>0.1]
2733it [27:11,  1.03s/it, bound:0 nc: 10 ncall:1.6e+04 eff:17.4% logz-ratio=8.34+/-0.03 dlogz:0.296>0.1]
2734it [27:11,  1.06it/s, bound:0 nc:  9 ncall:1.6e+04 eff:17.4% logz-ratio=8.34+/-0.03 dlogz:0.296>0.1]
2735it [27:13,  1.21s/it, bound:0 nc: 22 ncall:1.6e+04 eff:17.4% logz-ratio=8.34+/-0.03 dlogz:0.295>0.1]
2736it [27:14,  1.03it/s, bound:0 nc:  5 ncall:1.6e+04 eff:17.4% logz-ratio=8.34+/-0.03 dlogz:0.295>0.1]
2737it [27:14,  1.37it/s, bound:0 nc:  2 ncall:1.6e+04 eff:17.4% logz-ratio=8.34+/-0.03 dlogz:0.295>0.1]
2738it [27:15,  1.31it/s, bound:0 nc: 10 ncall:1.6e+04 eff:17.4% logz-ratio=8.35+/-0.03 dlogz:0.294>0.1]
2739it [27:15,  1.36it/s, bound:0 nc:  8 ncall:1.6e+04 eff:17.3% logz-ratio=8.35+/-0.03 dlogz:0.294>0.1]
2740it [27:17,  1.12it/s, bound:0 nc: 16 ncall:1.6e+04 eff:17.3% logz-ratio=8.35+/-0.03 dlogz:0.294>0.1]
2741it [27:17,  1.42it/s, bound:0 nc:  3 ncall:1.6e+04 eff:17.3% logz-ratio=8.35+/-0.03 dlogz:0.293>0.1]
2742it [27:17,  1.46it/s, bound:0 nc:  8 ncall:1.6e+04 eff:17.3% logz-ratio=8.35+/-0.03 dlogz:0.293>0.1]
2743it [27:19,  1.16it/s, bound:0 nc: 16 ncall:1.6e+04 eff:17.3% logz-ratio=8.35+/-0.03 dlogz:0.293>0.1]
2744it [27:19,  1.52it/s, bound:0 nc:  2 ncall:1.6e+04 eff:17.3% logz-ratio=8.35+/-0.03 dlogz:0.292>0.1]
2745it [27:19,  1.76it/s, bound:0 nc:  4 ncall:1.6e+04 eff:17.3% logz-ratio=8.35+/-0.03 dlogz:0.292>0.1]
2746it [27:24,  1.82s/it, bound:0 nc: 57 ncall:1.6e+04 eff:17.3% logz-ratio=8.35+/-0.03 dlogz:0.292>0.1]
2747it [27:28,  2.51s/it, bound:0 nc: 48 ncall:1.6e+04 eff:17.2% logz-ratio=8.35+/-0.03 dlogz:0.291>0.1]
2748it [27:30,  2.43s/it, bound:0 nc: 24 ncall:1.6e+04 eff:17.2% logz-ratio=8.35+/-0.03 dlogz:0.291>0.1]
2749it [27:32,  2.23s/it, bound:0 nc: 20 ncall:1.6e+04 eff:17.2% logz-ratio=8.35+/-0.03 dlogz:0.291>0.1]
2750it [27:33,  1.73s/it, bound:0 nc:  6 ncall:1.6e+04 eff:17.2% logz-ratio=8.35+/-0.03 dlogz:0.291>0.1]
2751it [27:36,  2.30s/it, bound:0 nc: 36 ncall:1.6e+04 eff:17.2% logz-ratio=8.35+/-0.03 dlogz:0.290>0.1]
2752it [27:38,  2.24s/it, bound:0 nc: 21 ncall:1.6e+04 eff:17.1% logz-ratio=8.35+/-0.03 dlogz:0.290>0.1]
2753it [27:40,  1.91s/it, bound:0 nc: 13 ncall:1.6e+04 eff:17.1% logz-ratio=8.35+/-0.03 dlogz:0.290>0.1]
2754it [27:40,  1.55s/it, bound:0 nc:  9 ncall:1.6e+04 eff:17.1% logz-ratio=8.35+/-0.03 dlogz:0.289>0.1]
2755it [27:42,  1.67s/it, bound:0 nc: 22 ncall:1.6e+04 eff:17.1% logz-ratio=8.35+/-0.03 dlogz:0.289>0.1]
2756it [27:44,  1.66s/it, bound:0 nc: 13 ncall:1.6e+04 eff:17.1% logz-ratio=8.35+/-0.03 dlogz:0.289>0.1]
2757it [27:45,  1.56s/it, bound:0 nc: 15 ncall:1.6e+04 eff:17.1% logz-ratio=8.35+/-0.03 dlogz:0.288>0.1]
2758it [27:47,  1.49s/it, bound:0 nc: 14 ncall:1.6e+04 eff:17.1% logz-ratio=8.35+/-0.03 dlogz:0.288>0.1]
2759it [27:47,  1.25s/it, bound:0 nc:  7 ncall:1.6e+04 eff:17.1% logz-ratio=8.35+/-0.03 dlogz:0.288>0.1]
2760it [27:49,  1.38s/it, bound:0 nc: 17 ncall:1.6e+04 eff:17.1% logz-ratio=8.35+/-0.03 dlogz:0.287>0.1]
2761it [27:50,  1.29s/it, bound:0 nc: 12 ncall:1.6e+04 eff:17.1% logz-ratio=8.35+/-0.03 dlogz:0.287>0.1]
2762it [27:53,  1.93s/it, bound:0 nc: 32 ncall:1.6e+04 eff:17.0% logz-ratio=8.35+/-0.03 dlogz:0.287>0.1]
2763it [27:55,  1.78s/it, bound:0 nc: 14 ncall:1.6e+04 eff:17.0% logz-ratio=8.35+/-0.03 dlogz:0.286>0.1]
2764it [27:55,  1.39s/it, bound:0 nc:  4 ncall:1.6e+04 eff:17.0% logz-ratio=8.35+/-0.03 dlogz:0.286>0.1]
2765it [27:55,  1.00s/it, bound:0 nc:  1 ncall:1.6e+04 eff:17.0% logz-ratio=8.35+/-0.03 dlogz:0.286>0.1]
2766it [27:57,  1.15s/it, bound:0 nc: 17 ncall:1.6e+04 eff:17.0% logz-ratio=8.35+/-0.03 dlogz:0.285>0.1]
2767it [27:57,  1.16it/s, bound:0 nc:  2 ncall:1.6e+04 eff:17.0% logz-ratio=8.35+/-0.03 dlogz:0.285>0.1]
2768it [27:58,  1.25it/s, bound:0 nc:  7 ncall:1.6e+04 eff:17.0% logz-ratio=8.35+/-0.03 dlogz:0.285>0.1]
2769it [27:58,  1.53it/s, bound:0 nc:  3 ncall:1.6e+04 eff:17.0% logz-ratio=8.35+/-0.03 dlogz:0.284>0.1]
2770it [27:59,  1.31it/s, bound:0 nc: 12 ncall:1.6e+04 eff:17.0% logz-ratio=8.35+/-0.03 dlogz:0.284>0.1]
2771it [28:01,  1.13s/it, bound:0 nc: 24 ncall:1.6e+04 eff:17.0% logz-ratio=8.35+/-0.03 dlogz:0.284>0.1]
2772it [28:04,  1.55s/it, bound:0 nc: 26 ncall:1.6e+04 eff:17.0% logz-ratio=8.35+/-0.03 dlogz:0.284>0.1]
2773it [28:04,  1.27s/it, bound:0 nc:  6 ncall:1.6e+04 eff:17.0% logz-ratio=8.35+/-0.03 dlogz:0.283>0.1]
2774it [28:05,  1.10s/it, bound:0 nc:  8 ncall:1.6e+04 eff:17.0% logz-ratio=8.36+/-0.03 dlogz:0.283>0.1]
2775it [28:06,  1.04it/s, bound:0 nc:  7 ncall:1.6e+04 eff:17.0% logz-ratio=8.36+/-0.03 dlogz:0.283>0.1]
2776it [28:07,  1.04it/s, bound:0 nc: 12 ncall:1.6e+04 eff:17.0% logz-ratio=8.36+/-0.03 dlogz:0.282>0.1]
2777it [28:08,  1.12s/it, bound:0 nc: 18 ncall:1.6e+04 eff:17.0% logz-ratio=8.36+/-0.03 dlogz:0.282>0.1]
2778it [28:09,  1.07it/s, bound:0 nc:  5 ncall:1.6e+04 eff:17.0% logz-ratio=8.36+/-0.03 dlogz:0.282>0.1]
2779it [28:09,  1.30it/s, bound:0 nc:  4 ncall:1.6e+04 eff:17.0% logz-ratio=8.36+/-0.03 dlogz:0.281>0.1]
2780it [28:11,  1.16s/it, bound:0 nc: 23 ncall:1.6e+04 eff:17.0% logz-ratio=8.36+/-0.03 dlogz:0.281>0.1]
2781it [28:13,  1.46s/it, bound:0 nc: 21 ncall:1.6e+04 eff:16.9% logz-ratio=8.36+/-0.03 dlogz:0.281>0.1]
2782it [28:14,  1.32s/it, bound:0 nc: 11 ncall:1.6e+04 eff:16.9% logz-ratio=8.36+/-0.03 dlogz:0.280>0.1]
2783it [28:15,  1.19s/it, bound:0 nc: 10 ncall:1.6e+04 eff:16.9% logz-ratio=8.36+/-0.03 dlogz:0.280>0.1]
2784it [28:19,  1.92s/it, bound:0 nc: 36 ncall:1.6e+04 eff:16.9% logz-ratio=8.36+/-0.03 dlogz:0.280>0.1]
2785it [28:19,  1.49s/it, bound:0 nc:  4 ncall:1.6e+04 eff:16.9% logz-ratio=8.36+/-0.03 dlogz:0.279>0.1]
2786it [28:20,  1.30s/it, bound:0 nc:  8 ncall:1.6e+04 eff:16.9% logz-ratio=8.36+/-0.03 dlogz:0.279>0.1]
2787it [28:20,  1.01it/s, bound:0 nc:  2 ncall:1.6e+04 eff:16.9% logz-ratio=8.36+/-0.03 dlogz:0.279>0.1]
2788it [28:21,  1.16it/s, bound:0 nc:  5 ncall:1.6e+04 eff:16.9% logz-ratio=8.36+/-0.03 dlogz:0.279>0.1]
2789it [28:23,  1.38s/it, bound:0 nc: 23 ncall:1.7e+04 eff:16.9% logz-ratio=8.36+/-0.03 dlogz:0.278>0.1]
2790it [28:24,  1.24s/it, bound:0 nc:  8 ncall:1.7e+04 eff:16.9% logz-ratio=8.36+/-0.03 dlogz:0.278>0.1]
2791it [28:26,  1.36s/it, bound:0 nc: 19 ncall:1.7e+04 eff:16.9% logz-ratio=8.36+/-0.03 dlogz:0.278>0.1]
2792it [28:31,  2.42s/it, bound:0 nc: 55 ncall:1.7e+04 eff:16.8% logz-ratio=8.36+/-0.03 dlogz:0.277>0.1]
2793it [28:31,  1.84s/it, bound:0 nc:  5 ncall:1.7e+04 eff:16.8% logz-ratio=8.36+/-0.03 dlogz:0.277>0.1]
2794it [28:32,  1.35s/it, bound:0 nc:  2 ncall:1.7e+04 eff:16.8% logz-ratio=8.36+/-0.03 dlogz:0.277>0.1]
2795it [28:33,  1.42s/it, bound:0 nc: 15 ncall:1.7e+04 eff:16.8% logz-ratio=8.36+/-0.03 dlogz:0.276>0.1]
2796it [28:34,  1.25s/it, bound:0 nc:  9 ncall:1.7e+04 eff:16.8% logz-ratio=8.36+/-0.03 dlogz:0.276>0.1]
2797it [28:36,  1.54s/it, bound:0 nc: 24 ncall:1.7e+04 eff:16.8% logz-ratio=8.36+/-0.03 dlogz:0.276>0.1]
2798it [28:38,  1.73s/it, bound:0 nc: 26 ncall:1.7e+04 eff:16.8% logz-ratio=8.36+/-0.03 dlogz:0.275>0.1]
2799it [28:39,  1.38s/it, bound:0 nc:  6 ncall:1.7e+04 eff:16.8% logz-ratio=8.36+/-0.03 dlogz:0.275>0.1]
2800it [28:41,  1.58s/it, bound:0 nc: 21 ncall:1.7e+04 eff:16.8% logz-ratio=8.36+/-0.03 dlogz:0.275>0.1]
2801it [28:45,  2.43s/it, bound:0 nc: 52 ncall:1.7e+04 eff:16.7% logz-ratio=8.36+/-0.03 dlogz:0.275>0.1]
2802it [28:46,  1.93s/it, bound:0 nc:  9 ncall:1.7e+04 eff:16.7% logz-ratio=8.36+/-0.03 dlogz:0.274>0.1]
2803it [28:48,  1.98s/it, bound:0 nc: 19 ncall:1.7e+04 eff:16.7% logz-ratio=8.36+/-0.03 dlogz:0.274>0.1]
2804it [28:49,  1.58s/it, bound:0 nc:  6 ncall:1.7e+04 eff:16.7% logz-ratio=8.36+/-0.03 dlogz:0.274>0.1]
2805it [28:54,  2.56s/it, bound:0 nc: 48 ncall:1.7e+04 eff:16.7% logz-ratio=8.36+/-0.03 dlogz:0.273>0.1]
2806it [28:54,  1.87s/it, bound:0 nc:  2 ncall:1.7e+04 eff:16.7% logz-ratio=8.36+/-0.03 dlogz:0.273>0.1]
2807it [28:55,  1.59s/it, bound:0 nc:  8 ncall:1.7e+04 eff:16.7% logz-ratio=8.36+/-0.03 dlogz:0.273>0.1]
2808it [28:55,  1.26s/it, bound:0 nc:  4 ncall:1.7e+04 eff:16.7% logz-ratio=8.36+/-0.03 dlogz:0.272>0.1]
2809it [28:56,  1.14s/it, bound:0 nc:  6 ncall:1.7e+04 eff:16.7% logz-ratio=8.36+/-0.03 dlogz:0.272>0.1]
2810it [28:59,  1.51s/it, bound:0 nc: 17 ncall:1.7e+04 eff:16.7% logz-ratio=8.36+/-0.03 dlogz:0.272>0.1]
2811it [29:01,  1.70s/it, bound:0 nc: 15 ncall:1.7e+04 eff:16.6% logz-ratio=8.36+/-0.03 dlogz:0.272>0.1]
2812it [29:01,  1.31s/it, bound:0 nc:  3 ncall:1.7e+04 eff:16.6% logz-ratio=8.37+/-0.03 dlogz:0.271>0.1]
2813it [29:01,  1.04it/s, bound:0 nc:  1 ncall:1.7e+04 eff:16.6% logz-ratio=8.37+/-0.03 dlogz:0.271>0.1]
2814it [29:02,  1.28it/s, bound:0 nc:  3 ncall:1.7e+04 eff:16.7% logz-ratio=8.37+/-0.03 dlogz:0.271>0.1]
2815it [29:04,  1.19s/it, bound:0 nc: 16 ncall:1.7e+04 eff:16.6% logz-ratio=8.37+/-0.03 dlogz:0.270>0.1]
2816it [29:09,  2.26s/it, bound:0 nc: 41 ncall:1.7e+04 eff:16.6% logz-ratio=8.37+/-0.03 dlogz:0.270>0.1]
2817it [29:13,  2.77s/it, bound:0 nc: 29 ncall:1.7e+04 eff:16.6% logz-ratio=8.37+/-0.03 dlogz:0.270>0.1]
2818it [29:15,  2.71s/it, bound:0 nc: 23 ncall:1.7e+04 eff:16.6% logz-ratio=8.37+/-0.03 dlogz:0.269>0.1]
2819it [29:20,  3.26s/it, bound:0 nc: 38 ncall:1.7e+04 eff:16.5% logz-ratio=8.37+/-0.03 dlogz:0.269>0.1]
2820it [29:23,  3.28s/it, bound:0 nc: 26 ncall:1.7e+04 eff:16.5% logz-ratio=8.37+/-0.03 dlogz:0.269>0.1]
2821it [29:24,  2.50s/it, bound:0 nc:  5 ncall:1.7e+04 eff:16.5% logz-ratio=8.37+/-0.03 dlogz:0.269>0.1]
2822it [29:27,  2.81s/it, bound:0 nc: 31 ncall:1.7e+04 eff:16.5% logz-ratio=8.37+/-0.03 dlogz:0.268>0.1]
2823it [29:28,  2.22s/it, bound:0 nc:  5 ncall:1.7e+04 eff:16.5% logz-ratio=8.37+/-0.03 dlogz:0.268>0.1]
2824it [29:29,  1.81s/it, bound:0 nc:  8 ncall:1.7e+04 eff:16.5% logz-ratio=8.37+/-0.03 dlogz:0.268>0.1]
2825it [29:29,  1.30s/it, bound:0 nc:  1 ncall:1.7e+04 eff:16.5% logz-ratio=8.37+/-0.03 dlogz:0.267>0.1]
2826it [29:33,  2.08s/it, bound:0 nc: 32 ncall:1.7e+04 eff:16.5% logz-ratio=8.37+/-0.03 dlogz:0.267>0.1]
2827it [29:35,  2.03s/it, bound:0 nc: 18 ncall:1.7e+04 eff:16.5% logz-ratio=8.37+/-0.03 dlogz:0.267>0.1]
2828it [29:35,  1.57s/it, bound:0 nc:  5 ncall:1.7e+04 eff:16.5% logz-ratio=8.37+/-0.03 dlogz:0.267>0.1]
2829it [29:44,  3.75s/it, bound:0 nc: 82 ncall:1.7e+04 eff:16.4% logz-ratio=8.37+/-0.03 dlogz:0.266>0.1]
2830it [29:44,  2.69s/it, bound:0 nc:  2 ncall:1.7e+04 eff:16.4% logz-ratio=8.37+/-0.03 dlogz:0.266>0.1]
2831it [29:45,  1.94s/it, bound:0 nc:  2 ncall:1.7e+04 eff:16.4% logz-ratio=8.37+/-0.03 dlogz:0.266>0.1]
2832it [29:46,  1.88s/it, bound:0 nc: 20 ncall:1.7e+04 eff:16.4% logz-ratio=8.37+/-0.03 dlogz:0.265>0.1]
2833it [29:47,  1.54s/it, bound:0 nc:  9 ncall:1.7e+04 eff:16.4% logz-ratio=8.37+/-0.03 dlogz:0.265>0.1]
2834it [29:47,  1.15s/it, bound:0 nc:  2 ncall:1.7e+04 eff:16.4% logz-ratio=8.37+/-0.03 dlogz:0.265>0.1]
2835it [29:48,  1.04it/s, bound:0 nc:  4 ncall:1.7e+04 eff:16.4% logz-ratio=8.37+/-0.03 dlogz:0.264>0.1]
2836it [29:50,  1.23s/it, bound:0 nc: 20 ncall:1.7e+04 eff:16.4% logz-ratio=8.37+/-0.03 dlogz:0.264>0.1]
2838it [29:52,  1.19s/it, bound:0 nc: 27 ncall:1.7e+04 eff:16.4% logz-ratio=8.37+/-0.03 dlogz:0.264>0.1]
2839it [29:53,  1.07s/it, bound:0 nc:  9 ncall:1.7e+04 eff:16.4% logz-ratio=8.37+/-0.03 dlogz:0.263>0.1]
2840it [29:54,  1.06s/it, bound:0 nc: 12 ncall:1.7e+04 eff:16.4% logz-ratio=8.37+/-0.03 dlogz:0.263>0.1]
2841it [29:55,  1.03it/s, bound:0 nc:  8 ncall:1.7e+04 eff:16.4% logz-ratio=8.37+/-0.03 dlogz:0.263>0.1]
2842it [29:57,  1.30s/it, bound:0 nc: 22 ncall:1.7e+04 eff:16.3% logz-ratio=8.37+/-0.03 dlogz:0.262>0.1]
2843it [29:57,  1.04s/it, bound:0 nc:  4 ncall:1.7e+04 eff:16.3% logz-ratio=8.37+/-0.03 dlogz:0.262>0.1]
2844it [30:00,  1.76s/it, bound:0 nc: 37 ncall:1.7e+04 eff:16.3% logz-ratio=8.37+/-0.03 dlogz:0.262>0.1]
2846it [30:03,  1.57s/it, bound:0 nc: 23 ncall:1.7e+04 eff:16.3% logz-ratio=8.37+/-0.03 dlogz:0.261>0.1]
2847it [30:03,  1.15s/it, bound:0 nc:  1 ncall:1.7e+04 eff:16.3% logz-ratio=8.37+/-0.03 dlogz:0.261>0.1]
2848it [30:05,  1.32s/it, bound:0 nc: 16 ncall:1.7e+04 eff:16.3% logz-ratio=8.37+/-0.03 dlogz:0.261>0.1]
2849it [30:10,  2.49s/it, bound:0 nc: 53 ncall:1.8e+04 eff:16.3% logz-ratio=8.37+/-0.03 dlogz:0.260>0.1]
2850it [30:11,  2.16s/it, bound:0 nc: 15 ncall:1.8e+04 eff:16.2% logz-ratio=8.37+/-0.03 dlogz:0.260>0.1]
2851it [30:14,  2.23s/it, bound:0 nc: 26 ncall:1.8e+04 eff:16.2% logz-ratio=8.38+/-0.03 dlogz:0.260>0.1]
2852it [30:14,  1.65s/it, bound:0 nc:  3 ncall:1.8e+04 eff:16.2% logz-ratio=8.38+/-0.03 dlogz:0.260>0.1]
2853it [30:15,  1.53s/it, bound:0 nc: 13 ncall:1.8e+04 eff:16.2% logz-ratio=8.38+/-0.03 dlogz:0.259>0.1]
2854it [30:16,  1.20s/it, bound:0 nc:  5 ncall:1.8e+04 eff:16.2% logz-ratio=8.38+/-0.03 dlogz:0.259>0.1]
2855it [30:17,  1.40s/it, bound:0 nc: 22 ncall:1.8e+04 eff:16.2% logz-ratio=8.38+/-0.03 dlogz:0.259>0.1]
2857it [30:18,  1.08s/it, bound:0 nc:  7 ncall:1.8e+04 eff:16.2% logz-ratio=8.38+/-0.03 dlogz:0.258>0.1]
2858it [30:19,  1.09it/s, bound:0 nc:  6 ncall:1.8e+04 eff:16.2% logz-ratio=8.38+/-0.03 dlogz:0.258>0.1]
2859it [30:19,  1.48it/s, bound:0 nc:  1 ncall:1.8e+04 eff:16.2% logz-ratio=8.38+/-0.03 dlogz:0.258>0.1]
2860it [30:21,  1.29s/it, bound:0 nc: 33 ncall:1.8e+04 eff:16.2% logz-ratio=8.38+/-0.03 dlogz:0.257>0.1]
2861it [30:26,  2.32s/it, bound:0 nc: 45 ncall:1.8e+04 eff:16.2% logz-ratio=8.38+/-0.03 dlogz:0.257>0.1]
2862it [30:31,  3.16s/it, bound:0 nc: 50 ncall:1.8e+04 eff:16.1% logz-ratio=8.38+/-0.03 dlogz:0.257>0.1]
2863it [30:33,  2.66s/it, bound:0 nc: 13 ncall:1.8e+04 eff:16.1% logz-ratio=8.38+/-0.03 dlogz:0.256>0.1]
2864it [30:34,  2.08s/it, bound:0 nc:  8 ncall:1.8e+04 eff:16.1% logz-ratio=8.38+/-0.03 dlogz:0.256>0.1]
2865it [30:34,  1.56s/it, bound:0 nc:  4 ncall:1.8e+04 eff:16.1% logz-ratio=8.38+/-0.03 dlogz:0.256>0.1]
2866it [30:36,  1.80s/it, bound:0 nc: 25 ncall:1.8e+04 eff:16.1% logz-ratio=8.38+/-0.03 dlogz:0.256>0.1]
2867it [30:41,  2.54s/it, bound:0 nc: 43 ncall:1.8e+04 eff:16.1% logz-ratio=8.38+/-0.03 dlogz:0.255>0.1]
2868it [30:43,  2.44s/it, bound:0 nc: 23 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.255>0.1]
2869it [30:44,  2.13s/it, bound:0 nc: 15 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.255>0.1]
2870it [30:44,  1.57s/it, bound:0 nc:  3 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.254>0.1]
2871it [30:48,  2.11s/it, bound:0 nc: 40 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.254>0.1]
2872it [30:49,  1.84s/it, bound:0 nc: 13 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.254>0.1]
2873it [30:50,  1.54s/it, bound:0 nc:  8 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.254>0.1]
2874it [30:51,  1.41s/it, bound:0 nc: 10 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.253>0.1]
2875it [30:51,  1.02s/it, bound:0 nc:  1 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.253>0.1]
2876it [30:54,  1.54s/it, bound:0 nc: 26 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.253>0.1]
2877it [30:54,  1.27s/it, bound:0 nc:  5 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.253>0.1]
2878it [30:58,  1.82s/it, bound:0 nc: 32 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.252>0.1]
2879it [30:58,  1.31s/it, bound:0 nc:  1 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.252>0.1]
2880it [30:59,  1.37s/it, bound:0 nc: 13 ncall:1.8e+04 eff:16.0% logz-ratio=8.38+/-0.03 dlogz:0.252>0.1]
2882it [31:04,  1.67s/it, bound:0 nc: 52 ncall:1.8e+04 eff:15.9% logz-ratio=8.38+/-0.03 dlogz:0.251>0.1]
2883it [31:06,  1.65s/it, bound:0 nc: 21 ncall:1.8e+04 eff:15.9% logz-ratio=8.38+/-0.03 dlogz:0.251>0.1]
